replicate_name	sample_name	read1	read2
115-2389_S39	115	115-2389_S39_R1_001.fastq.gz	115-2389_S39_R2_001.fastq.gz
115-2478_S39	115	115-2478_S39_R1_001.fastq.gz	115-2478_S39_R2_001.fastq.gz
115-D03-2537_S39	115	115-D03-2537_S39_R1_001.fastq.gz	115-D03-2537_S39_R2_001.fastq.gz
115-D03_S39	115	115-D03_S39_R1_001.fastq.gz	115-D03_S39_R2_001.fastq.gz
116-2068-2_S91	116	116-2068-2_S91_R1_001.fastq.gz	116-2068-2_S91_R2_001.fastq.gz
116-2068-3_S90	116	116-2068-3_S90_R1_001.fastq.gz	116-2068-3_S90_R2_001.fastq.gz
116-2068_S91	116	116-2068_S91_R1_001.fastq.gz	116-2068_S91_R2_001.fastq.gz
116-C12_S35	116	116-C12_S35_R1_001.fastq.gz	116-C12_S35_R2_001.fastq.gz
117-2068-2_S4	117	117-2068-2_S4_R1_001.fastq.gz	117-2068-2_S4_R2_001.fastq.gz
117-2068-3_S4	117	117-2068-3_S4_R1_001.fastq.gz	117-2068-3_S4_R2_001.fastq.gz
117-2068_S4	117	117-2068_S4_R1_001.fastq.gz	117-2068_S4_R2_001.fastq.gz
117-D01_S36	117	117-D01_S36_R1_001.fastq.gz	117-D01_S36_R2_001.fastq.gz
119-2068-2_S12	119	119-2068-2_S12_R1_001.fastq.gz	119-2068-2_S12_R2_001.fastq.gz
119-2068-3_S12	119	119-2068-3_S12_R1_001.fastq.gz	119-2068-3_S12_R2_001.fastq.gz
119-2068_S12	119	119-2068_S12_R1_001.fastq.gz	119-2068_S12_R2_001.fastq.gz
119-D02_S37	119	119-D02_S37_R1_001.fastq.gz	119-D02_S37_R2_001.fastq.gz
12-2389_S5	12	12-2389_S5_R1_001.fastq.gz	12-2389_S5_R2_001.fastq.gz
12-2478_S5	12	12-2478_S5_R1_001.fastq.gz	12-2478_S5_R2_001.fastq.gz
12-A05-2537_S5	12	12-A05-2537_S5_R1_001.fastq.gz	12-A05-2537_S5_R2_001.fastq.gz
12-A05_S5	12	12-A05_S5_R1_001.fastq.gz	12-A05_S5_R2_001.fastq.gz
120-2068-2_S20	120	120-2068-2_S20_R1_001.fastq.gz	120-2068-2_S20_R2_001.fastq.gz
120-2068-3_S20	120	120-2068-3_S20_R1_001.fastq.gz	120-2068-3_S20_R2_001.fastq.gz
120-2068_S20	120	120-2068_S20_R1_001.fastq.gz	120-2068_S20_R2_001.fastq.gz
120-D03_S38	120	120-D03_S38_R1_001.fastq.gz	120-D03_S38_R2_001.fastq.gz
122-2068-2_S28	122	122-2068-2_S28_R1_001.fastq.gz	122-2068-2_S28_R2_001.fastq.gz
122-2068-3_S28	122	122-2068-3_S28_R1_001.fastq.gz	122-2068-3_S28_R2_001.fastq.gz
122-2068_S28	122	122-2068_S28_R1_001.fastq.gz	122-2068_S28_R2_001.fastq.gz
122-D04_S39	122	122-D04_S39_R1_001.fastq.gz	122-D04_S39_R2_001.fastq.gz
124-2383_S23	124	124-2383_S23_R1_001.fastq.gz	124-2383_S23_R2_001.fastq.gz
124-2536_S23	124	124-2536_S23_R1_001.fastq.gz	124-2536_S23_R2_001.fastq.gz
124-2543_S22	124	124-2543_S22_R1_001.fastq.gz	124-2543_S22_R2_001.fastq.gz
124-2607_S22	124	124-2607_S22_R1_001.fastq.gz	124-2607_S22_R2_001.fastq.gz
125-2389_S40	125	125-2389_S40_R1_001.fastq.gz	125-2389_S40_R2_001.fastq.gz
125-2478_S40	125	125-2478_S40_R1_001.fastq.gz	125-2478_S40_R2_001.fastq.gz
125-D04-2537_S40	125	125-D04-2537_S40_R1_001.fastq.gz	125-D04-2537_S40_R2_001.fastq.gz
125-D04_S40	125	125-D04_S40_R1_001.fastq.gz	125-D04_S40_R2_001.fastq.gz
126-2389_S41	126	126-2389_S41_R1_001.fastq.gz	126-2389_S41_R2_001.fastq.gz
126-2478_S41	126	126-2478_S41_R1_001.fastq.gz	126-2478_S41_R2_001.fastq.gz
126-D05-2537_S41	126	126-D05-2537_S41_R1_001.fastq.gz	126-D05-2537_S41_R2_001.fastq.gz
126-D05_S41	126	126-D05_S41_R1_001.fastq.gz	126-D05_S41_R2_001.fastq.gz
127-2068-2_S36	127	127-2068-2_S36_R1_001.fastq.gz	127-2068-2_S36_R2_001.fastq.gz
127-2068-3_S35	127	127-2068-3_S35_R1_001.fastq.gz	127-2068-3_S35_R2_001.fastq.gz
127-2068_S36	127	127-2068_S36_R1_001.fastq.gz	127-2068_S36_R2_001.fastq.gz
127-D05_S40	127	127-D05_S40_R1_001.fastq.gz	127-D05_S40_R2_001.fastq.gz
128-2068-2_S44	128	128-2068-2_S44_R1_001.fastq.gz	128-2068-2_S44_R2_001.fastq.gz
128-2068-3_S43	128	128-2068-3_S43_R1_001.fastq.gz	128-2068-3_S43_R2_001.fastq.gz
128-2068_S44	128	128-2068_S44_R1_001.fastq.gz	128-2068_S44_R2_001.fastq.gz
128-D06_S41	128	128-D06_S41_R1_001.fastq.gz	128-D06_S41_R2_001.fastq.gz
129-2068-2_S52	129	129-2068-2_S52_R1_001.fastq.gz	129-2068-2_S52_R2_001.fastq.gz
129-2068-3_S51	129	129-2068-3_S51_R1_001.fastq.gz	129-2068-3_S51_R2_001.fastq.gz
129-2068_S52	129	129-2068_S52_R1_001.fastq.gz	129-2068_S52_R2_001.fastq.gz
129-D07_S42	129	129-D07_S42_R1_001.fastq.gz	129-D07_S42_R2_001.fastq.gz
13-2389_S6	13	13-2389_S6_R1_001.fastq.gz	13-2389_S6_R2_001.fastq.gz
13-2478_S6	13	13-2478_S6_R1_001.fastq.gz	13-2478_S6_R2_001.fastq.gz
13-A06-2537_S6	13	13-A06-2537_S6_R1_001.fastq.gz	13-A06-2537_S6_R2_001.fastq.gz
13-A06_S6	13	13-A06_S6_R1_001.fastq.gz	13-A06_S6_R2_001.fastq.gz
130-2383_S24	130	130-2383_S24_R1_001.fastq.gz	130-2383_S24_R2_001.fastq.gz
130-2536_S24	130	130-2536_S24_R1_001.fastq.gz	130-2536_S24_R2_001.fastq.gz
130-2543_S23	130	130-2543_S23_R1_001.fastq.gz	130-2543_S23_R2_001.fastq.gz
130-2607_S23	130	130-2607_S23_R1_001.fastq.gz	130-2607_S23_R2_001.fastq.gz
131-2068-2_S60	131	131-2068-2_S60_R1_001.fastq.gz	131-2068-2_S60_R2_001.fastq.gz
131-2068-3_S59	131	131-2068-3_S59_R1_001.fastq.gz	131-2068-3_S59_R2_001.fastq.gz
131-2068_S60	131	131-2068_S60_R1_001.fastq.gz	131-2068_S60_R2_001.fastq.gz
131-D08_S43	131	131-D08_S43_R1_001.fastq.gz	131-D08_S43_R2_001.fastq.gz
133-2068-2_S68	133	133-2068-2_S68_R1_001.fastq.gz	133-2068-2_S68_R2_001.fastq.gz
133-2068-3_S67	133	133-2068-3_S67_R1_001.fastq.gz	133-2068-3_S67_R2_001.fastq.gz
133-2068_S68	133	133-2068_S68_R1_001.fastq.gz	133-2068_S68_R2_001.fastq.gz
133-D09_S44	133	133-D09_S44_R1_001.fastq.gz	133-D09_S44_R2_001.fastq.gz
135-2068-2_S76	135	135-2068-2_S76_R1_001.fastq.gz	135-2068-2_S76_R2_001.fastq.gz
135-2068-3_S75	135	135-2068-3_S75_R1_001.fastq.gz	135-2068-3_S75_R2_001.fastq.gz
135-2068_S76	135	135-2068_S76_R1_001.fastq.gz	135-2068_S76_R2_001.fastq.gz
135-D10_S45	135	135-D10_S45_R1_001.fastq.gz	135-D10_S45_R2_001.fastq.gz
138-2068-2_S84	138	138-2068-2_S84_R1_001.fastq.gz	138-2068-2_S84_R2_001.fastq.gz
138-2068-3_S83	138	138-2068-3_S83_R1_001.fastq.gz	138-2068-3_S83_R2_001.fastq.gz
138-2068_S84	138	138-2068_S84_R1_001.fastq.gz	138-2068_S84_R2_001.fastq.gz
138-D11_S46	138	138-D11_S46_R1_001.fastq.gz	138-D11_S46_R2_001.fastq.gz
139-2383_S25	139	139-2383_S25_R1_001.fastq.gz	139-2383_S25_R2_001.fastq.gz
139-2536_S25	139	139-2536_S25_R1_001.fastq.gz	139-2536_S25_R2_001.fastq.gz
139-2543_S24	139	139-2543_S24_R1_001.fastq.gz	139-2543_S24_R2_001.fastq.gz
