replicate_name	sample_name	read1	read2
120	120	120_R1_001.fastq.gz	120_R2_001.fastq.gz
122	122	122_R1_001.fastq.gz	122_R2_001.fastq.gz
124	124	124_R1_001.fastq.gz	124_R2_001.fastq.gz
125	125	125_R1_001.fastq.gz	125_R2_001.fastq.gz
126	126	126_R1_001.fastq.gz	126_R2_001.fastq.gz
127	127	127_R1_001.fastq.gz	127_R2_001.fastq.gz
128	128	128_R1_001.fastq.gz	128_R2_001.fastq.gz
129	129	129_R1_001.fastq.gz	129_R2_001.fastq.gz
130	130	130_R1_001.fastq.gz	130_R2_001.fastq.gz
131	131	131_R1_001.fastq.gz	131_R2_001.fastq.gz
133	133	133_R1_001.fastq.gz	133_R2_001.fastq.gz
135	135	135_R1_001.fastq.gz	135_R2_001.fastq.gz
138	138	138_R1_001.fastq.gz	138_R2_001.fastq.gz
139	139	139_R1_001.fastq.gz	139_R2_001.fastq.gz
140	140	140_R1_001.fastq.gz	140_R2_001.fastq.gz
141	141	141_R1_001.fastq.gz	141_R2_001.fastq.gz
142	142	142_R1_001.fastq.gz	142_R2_001.fastq.gz
143	143	143_R1_001.fastq.gz	143_R2_001.fastq.gz
145	145	145_R1_001.fastq.gz	145_R2_001.fastq.gz
146	146	146_R1_001.fastq.gz	146_R2_001.fastq.gz
147	147	147_R1_001.fastq.gz	147_R2_001.fastq.gz
149	149	149_R1_001.fastq.gz	149_R2_001.fastq.gz
150	150	150_R1_001.fastq.gz	150_R2_001.fastq.gz
151	151	151_R1_001.fastq.gz	151_R2_001.fastq.gz
152	152	152_R1_001.fastq.gz	152_R2_001.fastq.gz
153	153	153_R1_001.fastq.gz	153_R2_001.fastq.gz
154	154	154_R1_001.fastq.gz	154_R2_001.fastq.gz
155	155	155_R1_001.fastq.gz	155_R2_001.fastq.gz
156	156	156_R1_001.fastq.gz	156_R2_001.fastq.gz
157	157	157_R1_001.fastq.gz	157_R2_001.fastq.gz
158	158	158_R1_001.fastq.gz	158_R2_001.fastq.gz
159	159	159_R1_001.fastq.gz	159_R2_001.fastq.gz
160	160	160_R1_001.fastq.gz	160_R2_001.fastq.gz
161	161	161_R1_001.fastq.gz	161_R2_001.fastq.gz
162	162	162_R1_001.fastq.gz	162_R2_001.fastq.gz
163	163	163_R1_001.fastq.gz	163_R2_001.fastq.gz
164	164	164_R1_001.fastq.gz	164_R2_001.fastq.gz
165	165	165_R1_001.fastq.gz	165_R2_001.fastq.gz
166	166	166_R1_001.fastq.gz	166_R2_001.fastq.gz
167	167	167_R1_001.fastq.gz	167_R2_001.fastq.gz
168	168	168_R1_001.fastq.gz	168_R2_001.fastq.gz
170	170	170_R1_001.fastq.gz	170_R2_001.fastq.gz
172	172	172_R1_001.fastq.gz	172_R2_001.fastq.gz
173	173	173_R1_001.fastq.gz	173_R2_001.fastq.gz
174	174	174_R1_001.fastq.gz	174_R2_001.fastq.gz
175	175	175_R1_001.fastq.gz	175_R2_001.fastq.gz
176	176	176_R1_001.fastq.gz	176_R2_001.fastq.gz
177	177	177_R1_001.fastq.gz	177_R2_001.fastq.gz
178	178	178_R1_001.fastq.gz	178_R2_001.fastq.gz
179	179	179_R1_001.fastq.gz	179_R2_001.fastq.gz
180	180	180_R1_001.fastq.gz	180_R2_001.fastq.gz
181	181	181_R1_001.fastq.gz	181_R2_001.fastq.gz
182	182	182_R1_001.fastq.gz	182_R2_001.fastq.gz
185	185	185_R1_001.fastq.gz	185_R2_001.fastq.gz
186	186	186_R1_001.fastq.gz	186_R2_001.fastq.gz
187	187	187_R1_001.fastq.gz	187_R2_001.fastq.gz
188	188	188_R1_001.fastq.gz	188_R2_001.fastq.gz
189	189	189_R1_001.fastq.gz	189_R2_001.fastq.gz
191	191	191_R1_001.fastq.gz	191_R2_001.fastq.gz
192	192	192_R1_001.fastq.gz	192_R2_001.fastq.gz
193	193	193_R1_001.fastq.gz	193_R2_001.fastq.gz
194	194	194_R1_001.fastq.gz	194_R2_001.fastq.gz
195	195	195_R1_001.fastq.gz	195_R2_001.fastq.gz
196	196	196_R1_001.fastq.gz	196_R2_001.fastq.gz
197	197	197_R1_001.fastq.gz	197_R2_001.fastq.gz
199	199	199_R1_001.fastq.gz	199_R2_001.fastq.gz
200	200	200_R1_001.fastq.gz	200_R2_001.fastq.gz
201	201	201_R1_001.fastq.gz	201_R2_001.fastq.gz
202	202	202_R1_001.fastq.gz	202_R2_001.fastq.gz
203	203	203_R1_001.fastq.gz	203_R2_001.fastq.gz
204	204	204_R1_001.fastq.gz	204_R2_001.fastq.gz
207	207	207_R1_001.fastq.gz	207_R2_001.fastq.gz
208	208	208_R1_001.fastq.gz	208_R2_001.fastq.gz
211	211	211_R1_001.fastq.gz	211_R2_001.fastq.gz
213	213	213_R1_001.fastq.gz	213_R2_001.fastq.gz
215	215	215_R1_001.fastq.gz	215_R2_001.fastq.gz
216	216	216_R1_001.fastq.gz	216_R2_001.fastq.gz
219	219	219_R1_001.fastq.gz	219_R2_001.fastq.gz
221	221	221_R1_001.fastq.gz	221_R2_001.fastq.gz
223	223	223_R1_001.fastq.gz	223_R2_001.fastq.gz
224	224	224_R1_001.fastq.gz	224_R2_001.fastq.gz
226	226	226_R1_001.fastq.gz	226_R2_001.fastq.gz
227	227	227_R1_001.fastq.gz	227_R2_001.fastq.gz
228	228	228_R1_001.fastq.gz	228_R2_001.fastq.gz
229	229	229_R1_001.fastq.gz	229_R2_001.fastq.gz
230	230	230_R1_001.fastq.gz	230_R2_001.fastq.gz
231	231	231_R1_001.fastq.gz	231_R2_001.fastq.gz
232	232	232_R1_001.fastq.gz	232_R2_001.fastq.gz
233	233	233_R1_001.fastq.gz	233_R2_001.fastq.gz
235	235	235_R1_001.fastq.gz	235_R2_001.fastq.gz
236	236	236_R1_001.fastq.gz	236_R2_001.fastq.gz
237	237	237_R1_001.fastq.gz	237_R2_001.fastq.gz
239	239	239_R1_001.fastq.gz	239_R2_001.fastq.gz
241	241	241_R1_001.fastq.gz	241_R2_001.fastq.gz
243	243	243_R1_001.fastq.gz	243_R2_001.fastq.gz
244	244	244_R1_001.fastq.gz	244_R2_001.fastq.gz
245	245	245_R1_001.fastq.gz	245_R2_001.fastq.gz
246	246	246_R1_001.fastq.gz	246_R2_001.fastq.gz
247	247	247_R1_001.fastq.gz	247_R2_001.fastq.gz
248	248	248_R1_001.fastq.gz	248_R2_001.fastq.gz
250	250	250_R1_001.fastq.gz	250_R2_001.fastq.gz
251	251	251_R1_001.fastq.gz	251_R2_001.fastq.gz
252	252	252_R1_001.fastq.gz	252_R2_001.fastq.gz
253	253	253_R1_001.fastq.gz	253_R2_001.fastq.gz
254	254	254_R1_001.fastq.gz	254_R2_001.fastq.gz
255	255	255_R1_001.fastq.gz	255_R2_001.fastq.gz
256	256	256_R1_001.fastq.gz	256_R2_001.fastq.gz
258	258	258_R1_001.fastq.gz	258_R2_001.fastq.gz
259	259	259_R1_001.fastq.gz	259_R2_001.fastq.gz
260	260	260_R1_001.fastq.gz	260_R2_001.fastq.gz
261	261	261_R1_001.fastq.gz	261_R2_001.fastq.gz
262	262	262_R1_001.fastq.gz	262_R2_001.fastq.gz
264	264	264_R1_001.fastq.gz	264_R2_001.fastq.gz
265	265	265_R1_001.fastq.gz	265_R2_001.fastq.gz
266	266	266_R1_001.fastq.gz	266_R2_001.fastq.gz
267	267	267_R1_001.fastq.gz	267_R2_001.fastq.gz
269	269	269_R1_001.fastq.gz	269_R2_001.fastq.gz
270	270	270_R1_001.fastq.gz	270_R2_001.fastq.gz
272	272	272_R1_001.fastq.gz	272_R2_001.fastq.gz
273	273	273_R1_001.fastq.gz	273_R2_001.fastq.gz
275	275	275_R1_001.fastq.gz	275_R2_001.fastq.gz
276	276	276_R1_001.fastq.gz	276_R2_001.fastq.gz
277	277	277_R1_001.fastq.gz	277_R2_001.fastq.gz
278	278	278_R1_001.fastq.gz	278_R2_001.fastq.gz
280	280	280_R1_001.fastq.gz	280_R2_001.fastq.gz
281	281	281_R1_001.fastq.gz	281_R2_001.fastq.gz
282	282	282_R1_001.fastq.gz	282_R2_001.fastq.gz
283	283	283_R1_001.fastq.gz	283_R2_001.fastq.gz
284	284	284_R1_001.fastq.gz	284_R2_001.fastq.gz
285	285	285_R1_001.fastq.gz	285_R2_001.fastq.gz
286	286	286_R1_001.fastq.gz	286_R2_001.fastq.gz
287	287	287_R1_001.fastq.gz	287_R2_001.fastq.gz
288	288	288_R1_001.fastq.gz	288_R2_001.fastq.gz
289	289	289_R1_001.fastq.gz	289_R2_001.fastq.gz
290	290	290_R1_001.fastq.gz	290_R2_001.fastq.gz
291	291	291_R1_001.fastq.gz	291_R2_001.fastq.gz
293	293	293_R1_001.fastq.gz	293_R2_001.fastq.gz
294	294	294_R1_001.fastq.gz	294_R2_001.fastq.gz
295	295	295_R1_001.fastq.gz	295_R2_001.fastq.gz
296	296	296_R1_001.fastq.gz	296_R2_001.fastq.gz
297	297	297_R1_001.fastq.gz	297_R2_001.fastq.gz
298	298	298_R1_001.fastq.gz	298_R2_001.fastq.gz
299	299	299_R1_001.fastq.gz	299_R2_001.fastq.gz
300	300	300_R1_001.fastq.gz	300_R2_001.fastq.gz
301	301	301_R1_001.fastq.gz	301_R2_001.fastq.gz
302	302	302_R1_001.fastq.gz	302_R2_001.fastq.gz
304	304	304_R1_001.fastq.gz	304_R2_001.fastq.gz
